FID,the_geom,District,ID_Muni,Municipali,Longitude,Latitude,Population,Urb_ou_Rur,Pop_total,Services__,Densite_Po,Urb_Rur
population_mada.197,POINT (46.71666666666667 -18.883333333333336),MIARINARIVO,112151,ANOSIBE IFANJA,46.716667,-18.883333,15205,,9533,10.2,107.62,Rural
population_mada.198,POINT (46.75 -18.81666666666667),MIARINARIVO,112152,SAROBARATRA IFANJA,46.75,-18.816667,18989,,11906,10.2,64.16,Rural
population_mada.199,POINT (47.03333333333333 -18.866666666666667),MIARINARIVO,112170,ZOMA BEALOKA,47.033333,-18.866667,7750,,4859,10.2,49.86,Rural
population_mada.200,POINT (47.03333333333333 -18.76666666666667),MIARINARIVO,112190,SOAVIMBAZAHA,47.033333,-18.766667,11445,,7176,10.2,57.51,Rural
population_mada.201,POINT (46.63333333333333 -18.733333333333334),MIARINARIVO,112210,ANDOLOFOTSY,46.633333,-18.733333,23543,,14761,10.2,142.53,Rural
population_mada.202,POINT (46.9 -19.083333333333332),MIARINARIVO,112230,ANTOBY EST,46.9,-19.083333,12595,,7897,10.2,83.97,Rural
population_mada.203,POINT (46.56666666666667 -18.933333333333334),MIARINARIVO,112250,ALATSINAINIKELY,46.566667,-18.933333,15311,,9600,10.2,210.7,Rural
population_mada.204,POINT (46.75 -19.166666666666668),SOAVINANDRIANA,113011,SOAVINANDRIANA,46.75,-19.166667,41864,,26249,10.2,119.68,Rural
population_mada.205,POINT (46.86666666666667 -19.183333333333334),SOAVINANDRIANA,113012,DONDONA,46.866667,-19.183333,7711,,4835,10.2,204.46,Rural
population_mada.206,POINT (46.68333333333334 -19.083333333333332),SOAVINANDRIANA,113030,AMPARY,46.683333,-19.083333,8259,,5179,10.2,86.49,Rural
population_mada.207,POINT (46.61666666666667 -19.133333333333333),SOAVINANDRIANA,113050,MANANASY,46.616667,-19.133333,13630,,8546,10.2,103.84,Rural
population_mada.208,POINT (46.733333333333334 -19.266666666666666),SOAVINANDRIANA,113070,MANDIAVATO MASINDRAY,46.733333,-19.266667,5641,,3537,10.2,240.44,Rural
population_mada.209,POINT (46.71666666666667 -19.05),SOAVINANDRIANA,113090,AMPEFY,46.716667,-19.05,17545,,11000,10.2,333.4,Rural
